ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,466987,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,466987,202507,買掛金,買掛金,,清野モータース,清野モータース,西置賜郡白鷹町大字荒砥甲8696-2,西置賜郡白鷹町大字荒砥甲8696-2,,,2089989,2089989,,,,
,,3,000,466987,202507,同上,同上,,東北企業(株),東北企業(株),山形市松見町11-19,山形市松見町11-19,,,1903572,1903572,,,,
,,4,000,466987,202507,同上,同上,,日本テクノ総業(株),日本テクノ総業(株),埼玉県さいたま市岩槻区浮谷2812-8,埼玉県さいたま市岩槻区浮谷2812-8,,,1888128,1888128,,,,
,,5,000,466987,202507,同上,同上,,高橋石油(株),高橋石油(株),天童市高木787,天童市高木787,,,1802688,1802688,,,,
,,6,000,466987,202507,同上,同上,,共和コンクリート(株),共和コンクリート(株),山形市十日町1丁目1-34アクサ山形ビル5F,山形市十日町1丁目1-34アクサ山形ビル5F,,,1576850,1576850,,,,
,,7,000,466987,202507,同上,同上,,(株)イズミスチール,(株)イズミスチール,茨城県桜川市上野原地新田318,茨城県桜川市上野原地新田318,,,1570195,1570195,,,,
,,8,000,466987,202507,同上,同上,,オーイケ,オーイケ,長野県東筑摩郡山形村54-1,長野県東筑摩郡山形村54-1,,,1491050,1491050,,,,
,,9,000,466987,202507,同上,同上,,(株)ダイクレ,(株)ダイクレ,仙台市青葉区大町1-4-1,仙台市青葉区大町1-4-1,,,1488630,1488630,,,,
,,10,000,466987,202507,同上,同上,,(株)佐藤燃料店,(株)佐藤燃料店,西置賜郡白鷹町乙一本杉358-1,西置賜郡白鷹町乙一本杉358-1,,,1403079,1403079,,,,
,,11,000,466987,202507,同上,同上,,須貝設備工業(株),須貝設備工業(株),西置賜郡白鷹町大字十王2480,西置賜郡白鷹町大字十王2480,,,1290300,1290300,,,,
,,12,000,466987,202507,同上,同上,,信越産業(株),信越産業(株),東京都北区赤羽一丁目52番10号,東京都北区赤羽一丁目52番10号,,,1185470,1185470,,,,
,,13,000,466987,202507,同上,同上,,佐藤製線所,佐藤製線所,宮城県亘理郡亘理町字江下111,宮城県亘理郡亘理町字江下111,,,1141107,1141107,,,,
,,14,000,466987,202507,同上,同上,,木田コンクリート工業(株),木田コンクリート工業(株),神奈川県芽ヶ崎行谷539,神奈川県芽ヶ崎行谷539,,,1052315,1052315,,,,
,,15,000,466987,202507,同上,同上,,(有)マウント工業,(有)マウント工業,天童市老野森宇糠塚420-2,天童市老野森宇糠塚420-2,,,1035678,1035678,,,,
,,16,000,466987,202507,同上,同上,,遠藤商事(株),遠藤商事(株),山形市穂積85番地,山形市穂積85番地,,,1023816,1023816,,,,
,,17,000,466987,202507,同上,同上,,ヤマラク運輸(株),ヤマラク運輸(株),白鷹町大字十王3221,白鷹町大字十王3221,,,1003514,1003514,,,,
,,18,000,466987,202507,同上,同上,,日米商事(株),日米商事(株),山形市城西町4-3-6,山形市城西町4-3-6,,,996600,996600,,,,
,,19,000,466987,202507,同上,同上,,野口鉱油,野口鉱油,天童市鎌田一丁目13番1号,天童市鎌田一丁目13番1号,,,936596,936596,,,,
,,20,000,466987,202507,同上,同上,,東北電カ(株),東北電カ(株),長井市中道1丁目5-46,長井市中道1丁目5-46,,,922226,922226,,,,
,,21,000,466987,202507,同上,同上,,(株)フレックスシステム,(株)フレックスシステム,大阪府東大阪市長田中1-4-17-202号,大阪府東大阪市長田中1-4-17-202号,,,904503,904503,,,,
,,22,000,466987,202507,同上,同上,,(有)佐藤砂利販売,(有)佐藤砂利販売,寒河江市大字柴橋1525-3,寒河江市大字柴橋1525-3,,,895235,895235,,,,
,,23,000,466987,202507,同上,同上,,(株)三大,(株)三大,埼玉県鴻巣市大間2-11-22,埼玉県鴻巣市大間2-11-22,,,882475,882475,,,,
,,24,000,466987,202507,同上,同上,,山形昭和産業(株),山形昭和産業(株),寒河江市中央工業団地159-11,寒河江市中央工業団地159-11,,,876266,876266,,,,
,,25,000,466987,202507,合計,合計,,,,,,,,,,,,,
,,26,000,466987,202507,,,,,,,,,,,,,,,
,,27,000,466987,202507,,,,,,,,,,,,,,,
