ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,872641,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,872641,202507,買掛金,買掛金,,東邦シートフレーム(株),東邦シートフレーム(株),千葉県八千代市上高野1812,千葉県八千代市上高野1812,,,109461604,109461604,,,,
,,3,000,872641,202507,買掛金,買掛金,,アサヒ金属(株),アサヒ金属(株),足立区梅島1-14-11,足立区梅島1-14-11,,,4150389,4150389,,,,
,,4,000,872641,202507,買掛金,買掛金,,(株)セキノ輿産,(株)セキノ輿産,富山県富山市水橋開発277-12,富山県富山市水橋開発277-12,,,5129737,5129737,,,,
,,5,000,872641,202507,買掛金,買掛金,,東日本セキスイ商事,東日本セキスイ商事,宮城県仙台市青葉区中央4-6-1SS30 10階,宮城県仙台市青葉区中央4-6-1SS30 10階,,,2683201,2683201,,,,
,,6,000,872641,202507,買掛金,買掛金,,高木(株),高木(株),千代田区岩本町1-3-9,千代田区岩本町1-3-9,,,305282,305282,,,,
,,7,000,872641,202507,買掛金,買掛金,,(株)コートー外5件,(株)コートー外5件,,,,,480051,480051,,,,
,,8,000,872641,202507,未払金,未払金,,(有)雄峯運輸,(有)雄峯運輸,富山県富山市上野332-5,富山県富山市上野332-5,,,860200,860200,,,,
,,9,000,872641,202507,未払金,未払金,,(有)東磐物産,(有)東磐物産,岩手県一関市千厩町千厩前田46-4,岩手県一関市千厩町千厩前田46-4,,,1298550,1298550,,,,
,,10,000,872641,202507,未払金,未払金,,(有)ホクブ輸送,(有)ホクブ輸送,,,,,231000,231000,,,,
,,11,000,872641,202507,未払金,未払金,,オフィスコム(株),オフィスコム(株),東京都千代田区九段北4-1-7,東京都千代田区九段北4-1-7,,,3509100,3509100,,,,
,,12,000,872641,202507,未払費用,未払費用,,東京金属健康保険組合,東京金属健康保険組合,,,,,190325,190325,3月分,3月分,,
,,13,000,872641,202507,未払費用,未払費用,,中央社会保険事務所,中央社会保険事務所,,,,,305271,305271,3月分,3月分,,
,,14,000,872641,202507,未払費用,未払費用,,東京金属企業年金基金,東京金属企業年金基金,,,,,94500,94500,3月分,3月分,,
,,15,000,872641,202507,未払費用,未払費用,,NTK(株),NTK(株),東京都中央区日本橋兜町16-9・3F,東京都中央区日本橋兜町16-9・3F,,,150562,150562,第二松木ビル・清掃料,第二松木ビル・清掃料,,
,,16,000,872641,202507,未払費用,未払費用,,締後給料,締後給料,,,,,965832,965832,3月分,3月分,,
,,17,000,872641,202507,未払費用,未払費用,,三菱電機ビルツリュウショオンズ,三菱電機ビルツリュウショオンズ,,,,,247500,247500,3月分,3月分,,
,,18,000,872641,202507,未払費用,未払費用,,リコージャパン(株)他9件,リコージャパン(株)他9件,,,,,155508,155508,3月分,3月分,,
,,19,000,872641,202507,未払法人税等,未払法人税等,,,,,,,,2091300,2091300,当期繰入額,当期繰入額,,
,,20,000,872641,202507,未払消費税,未払消費税,,日本橋税務署,日本橋税務署,,,,,2642100,2642100,3.4.1～4.3.31確定,3.4.1～4.3.31確定,,
,,21,000,872641,202507,計,計,,,,,,,,134952012,134952012,,,,
