ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,563040,202507,支払先,支払先,,振出年月日,振出年月日,支払期日,支払期日,摘要,摘要,支払銀行名支店名,支払銀行名支店名,金額,金額,,
,,2,000,563040,202507,富士塗料興業(株),富士塗料興業(株),,R3・10・21,R3・10・21,R4・2・28,R4・2・28,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,427460,427460,,
,,3,000,563040,202507,(株)小川真功商店,(株)小川真功商店,,R3・10・21,R3・10・21,R4・2・28,R4・2・28,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,1644805,1644805,,
,,4,000,563040,202507,トーステ(株),トーステ(株),,R3・10・21,R3・10・21,R4・2・28,R4・2・28,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,684110,684110,,
,,5,000,563040,202507,〃,〃,,R3・11・22,R3・11・22,R4・3・31,R4・3・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,420696,420696,,
,,6,000,563040,202507,(株)小川真功商店,(株)小川真功商店,,R3・11・22,R3・11・22,R4・3・31,R4・3・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,932762,932762,,
,,7,000,563040,202507,富士塗料興業(株),富士塗料興業(株),,R3・11・22,R3・11・22,R4・3・31,R4・3・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,315810,315810,,
,,8,000,563040,202507,(株)小川真功商店,(株)小川真功商店,,R3・12・21,R3・12・21,R4・4・30,R4・4・30,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,1568403,1568403,,
,,9,000,563040,202507,トーステ(株),トーステ(株),,R3・12・21,R3・12・21,R4・4・30,R4・4・30,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,280280,280280,,
,,10,000,563040,202507,富士塗料興業(株),富士塗料興業(株),,R4・1・21,R4・1・21,R4・5・31,R4・5・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,265045,265045,,
,,11,000,563040,202507,(株)小川真功商店,(株)小川真功商店,,R4・1・21,R4・1・21,R4・5・31,R4・5・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,1273156,1273156,,
,,12,000,563040,202507,トーステ(株),トーステ(株),,R4・1・21,R4・1・21,R4・5・31,R4・5・31,仕入・外注代金等,仕入・外注代金等,商工組合中央金庫仙台支店,商工組合中央金庫仙台支店,457609,457609,,
,,13,000,563040,202507,支払手形計,支払手形計,,,,,,,,,,8270136,8270136,,
,,14,000,563040,202507,計,計,,,,,,,,,,8270136,8270136,,
