ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_original,issue_date,due_date_original,due_date,balance_original,balance,paying_bank_name_original,paying_bank_name,paying_bank_branch_name_original,paying_bank_branch_name,discount_bank_name_original,discount_bank_name,description_original,description
0084,1,1,084,804140,202507,(株)グラセル,(株)グラセル,569,5.1.31,5.1.31,5.5.31,5.5.31,784030,784030,,,,,,,,
0084,1,2,084,804140,202507,(有)中林製作所,(有)中林製作所,581,5.1.31,5.1.31,5.5.31,5.5.31,5000000,5000000,,,,,,,,
0084,1,3,084,804140,202507,(有)中林製作所,(有)中林製作所,581,5.1.31,5.1.31,5.5.31,5.5.31,758425,758425,,,,,,,,
0084,1,4,084,804140,202507,三宝化成(株),三宝化成(株),570,5.1.31,5.1.31,5.5.31,5.5.31,1547700,1547700,,,,,,,,
0084,1,5,084,804140,202507,紀伊産業(株),紀伊産業(株),568,5.1.31,5.1.31,5.5.31,5.5.31,6571768,6571768,,,,,,,,
0084,1,6,084,804140,202507,凸版印刷(株),凸版印刷(株),582,5.1.31,5.1.31,5.5.10,5.5.10,1980950,1980950,,,,,,,,
0084,1,7,084,804140,202507,阪神容器(株),阪神容器(株),572,5.2.6,5.2.6,5.6.20,5.6.20,4274246,4274246,,,,,,,,
0084,1,8,084,804140,202507,ファーマパック(株),ファーマパック(株),574,5.2.6,5.2.6,5.6.20,5.6.20,1178760,1178760,,,,,,,,
0084,1,9,084,804140,202507,第一化工(株),第一化工(株),571,5.2.9,5.2.9,5.6.16,5.6.16,5000000,5000000,,,,,,,,
0084,1,10,084,804140,202507,第一化工(株),第一化工(株),571,5.2.9,5.2.9,5.6.16,5.6.16,48585,48585,,,,,,,,
0084,1,11,084,804140,202507,立花容器(株),立花容器(株),583,5.2.10,5.2.10,5.6.10,5.6.10,403260,403260,,,,,,,,
0084,1,12,084,804140,202507,キョーラク(株),キョーラク(株),573,5.2.10,5.2.10,5.6.10,5.6.10,7381726,7381726,,,,,,,,
0084,1,13,084,804140,202507,中央容器(株),中央容器(株),576,5.2.16,5.2.16,5.6.20,5.6.20,279223,279223,,,,,,,,
0084,1,14,084,804140,202507,三宝化成(株),三宝化成(株),570,5.2.24,5.2.24,5.6.30,5.6.30,1282393,1282393,,,,,,,,
0084,1,15,084,804140,202507,竹本容器(株),竹本容器(株),577,5.2.27,5.2.27,5.6.5,5.6.5,4229148,4229148,,,,,,,,
0084,1,16,084,804140,202507,大商硝子(株),大商硝子(株),579,5.2.28,5.2.28,5.6.20,5.6.20,1590474,1590474,,,,,,,,
0084,1,17,084,804140,202507,フジモリ産業(株),フジモリ産業(株),567,5.2.28,5.2.28,5.6.30,5.6.30,5000000,5000000,,,,,,,,
0084,1,18,084,804140,202507,フジモリ産業(株),フジモリ産業(株),567,5.2.28,5.2.28,5.6.30,5.6.30,2228805,2228805,,,,,,,,
0084,1,19,084,804140,202507,(株)中林製作所,(株)中林製作所,565,5.2.28,5.2.28,5.6.30,5.6.30,5000000,5000000,,,,,,,,
0084,1,20,084,804140,202507,(株)中林製作所,(株)中林製作所,565,5.2.28,5.2.28,5.6.30,5.6.30,1389896,1389896,,,,,,,,
0084,1,21,084,804140,202507,(株)グラセル,(株)グラセル,569,5.2.28,5.2.28,5.6.30,5.6.30,5000000,5000000,,,,,,,,
0084,1,22,084,804140,202507,(株)グラセル,(株)グラセル,569,5.2.28,5.2.28,5.6.30,5.6.30,2633917,2633917,,,,,,,,
0084,1,23,084,804140,202507,豊国産業(株),豊国産業(株),584,5.2.28,5.2.28,5.6.30,5.6.30,670911,670911,,,,,,,,
