ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_original,issue_date,due_date_original,due_date,balance_original,balance,paying_bank_name_original,paying_bank_name,paying_bank_branch_name_original,paying_bank_branch_name,discount_bank_name_original,discount_bank_name,description_original,description
0451,1,1,079,237586,202507,(株)三洋工業北海道システム,(株)三洋工業北海道システム,330,R4・1・31,R4・1・31,R4・5・31,R4・5・31,159801,159801,,,,,,,,
0451,1,2,079,237586,202507,札証物産(株),札証物産(株),331,R3・1・31,R3・1・31,R4・4・5,R4・4・5,152861,152861,,,,,,,,
0451,1,3,079,237586,202507,(株)ニッショウ,(株)ニッショウ,332,R4・2・28,R4・2・28,R4・5・10,R4・5・10,151561,151561,,,,,,,,
0451,1,4,079,237586,202507,(株)中野銘木店本社,(株)中野銘木店本社,321,R4・2・4,R4・2・4,R4・5・10,R4・5・10,138600,138600,,,,,,,,
0451,1,5,079,237586,202507,ダイアックス(株),ダイアックス(株),294,R4・3・15,R4・3・15,R4・6・15,R4・6・15,136489,136489,,,,,,,,
0451,1,6,079,237586,202507,(株)柴田ベニヤ商会,(株)柴田ベニヤ商会,319,R4・2・15,R4・2・15,R4・6・27,R4・6・27,132422,132422,,,,,,,,
0451,1,7,079,237586,202507,札証物産(株),札証物産(株),331,R4・3・31,R4・3・31,R4・6・5,R4・6・5,127432,127432,,,,,,,,
0451,1,8,079,237586,202507,(株)柴田ベニヤ商会,(株)柴田ベニヤ商会,319,R3・12・15,R3・12・15,R4・4・27,R4・4・27,115674,115674,,,,,,,,
0451,1,9,079,237586,202507,明和(株),明和(株),329,R4・3・15,R4・3・15,R4・7・20,R4・7・20,112860,112860,,,,,,,,
0451,1,10,079,237586,202507,受取手形計,受取手形計,371,,,,,64321892,64321892,,,,,,,,
