ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
0605,1,1,047,763898,202507,東北電化工業(株),東北電化工業(株),713,R4・12・12,R4・12・12,R5・4・10,R5・4・10,5000000.0,5000000.0,,,,,,CA02611売上代金
0605,1,2,047,763898,202507,北日本電材(株),北日本電材(株),714,R5・1・20,R5・1・20,R5・4・20,R5・4・20,139810.0,139810.0,,,,,,AD97888売上代金
0605,1,3,047,763898,202507,トーステ(株),トーステ(株),710,R4・12・28,R4・12・28,R5・4・30,R5・4・30,140657.0,140657.0,,,,,,OI64545売上代金
0605,1,4,047,763898,202507,信号電材(株),信号電材(株),715,R4・12・28,R4・12・28,R5・4・30,R5・4・30,711700.0,711700.0,,,,,,BB19271売上代金
0605,1,5,047,763898,202507,(株)フジ標産,(株)フジ標産,707,R5・1・25,R5・1・25,R5・5・5,R5・5・5,380985.0,380985.0,,,,,,OJ08112売上代金
0605,1,6,047,763898,202507,〃,〃,146,R4・12・26,R4・12・26,R5・5・10,R5・5・10,1035631.0,1035631.0,,,,,,BB017403売上代金
0605,1,7,047,763898,202507,保工東北(株),保工東北(株),734,R5・1・20,R5・1・20,R5・5・20,R5・5・20,960000.0,960000.0,,,,,,BE03471売上代金
0605,1,8,047,763898,202507,(株)フジ標産,(株)フジ標産,707,R5・1・25,R5・1・25,R5・5・31,R5・5・31,105600.0,105600.0,,,,,,AQ36660売上代金
0605,1,9,047,763898,202507,(株)松沢商会,(株)松沢商会,709,R5・1・25,R5・1・25,R5・5・31,R5・5・31,1004080.0,1004080.0,,,,,,IM11026売上代金
0605,1,10,047,763898,202507,信号電材(株),信号電材(株),715,R5・1・31,R5・1・31,R5・5・31,R5・5・31,849200.0,849200.0,,,,,,BB19296売上代金
0605,1,11,047,763898,202507,,,,,,,,10327663.0,10327663.0,,,,,,
0605,1,12,047,763898,202507,河北精機,河北精機,718,,,,,1.0,1.0,,,,,,備忘価額
0605,1,13,047,763898,202507,内田板金,内田板金,719,,,,,1.0,1.0,,,,,,備忘価額
0605,1,14,047,763898,202507,日本プラント,日本プラント,720,,,,,1.0,1.0,,,,,,備忘価額
0605,1,15,047,763898,202507,キシザキ工業,キシザキ工業,721,,,,,1.0,1.0,,,,,,備忘価額
0605,1,16,047,763898,202507,よねや旅館,よねや旅館,722,,,,,1.0,1.0,,,,,,備忘価額
0605,1,17,047,763898,202507,保電気工業,保電気工業,723,,,,,1.0,1.0,,,,,,備忘価額
0605,1,18,047,763898,202507,扇町工芸,扇町工芸,724,,,,,1.0,1.0,,,,,,備忘価額
0605,1,19,047,763898,202507,ハリマ電気,ハリマ電気,725,,,,,1.0,1.0,,,,,,備忘価額
0605,1,20,047,763898,202507,青葉電機,青葉電機,726,,,,,1.0,1.0,,,,,,備忘価額
0605,1,21,047,763898,202507,清電社,清電社,727,,,,,1.0,1.0,,,,,,備忘価額
0605,1,22,047,763898,202507,,,,,,,,10.0,10.0,,,,,,
0605,1,23,047,763898,202507,計,計,135,,,,,,,,,,,,
